Date,Open,High,Low,Close,Volume,Normalized Date
2015-04-01,40.6,40.76,40.31,40.72,36865322,0
2015-04-02,40.66,40.74,40.12,40.29,37487476,0.002739726
2015-04-06,40.34,41.78,40.18,41.55,39223692,0.01369863
2015-04-07,41.61,41.91,41.31,41.53,28809375,0.016438356
2015-04-08,41.48,41.69,41.04,41.42,24753438,0.019178082
2015-04-09,41.25,41.62,41.25,41.48,25723861,0.021917808
2015-04-10,41.63,41.95,41.41,41.72,28022002,0.024657534
2015-04-13,41.4,42.06,41.39,41.76,30276692,0.032876712
2015-04-14,41.8,42.03,41.39,41.65,24244382,0.035616438
2015-04-15,41.76,42.46,41.68,42.26,27343581,0.038356164
2015-04-16,41.95,42.34,41.82,42.16,22509652,0.04109589
2015-04-17,41.67,41.74,41.16,41.62,42387608,0.043835616
2015-04-20,41.73,43.17,41.68,42.91,46057733,0.052054795
2015-04-21,43,43.15,42.53,42.64,26013844,0.054794521
2015-04-22,42.67,43.13,42.55,42.99,25064273,0.057534247
2015-04-23,42.85,43.61,42.8,43.34,46309530,0.060273973
2015-04-24,45.66,48.14,45.65,47.87,130933665,0.063013699
2015-04-27,47.23,48.13,47.22,48.03,59248172,0.071232877
2015-04-28,47.78,49.21,47.7,49.16,60730778,0.073972603
2015-04-29,48.72,49.31,48.5,49.06,47804562,0.076712329
2015-04-30,48.7,49.54,48.6,48.64,64725457,0.079452055
2015-05-01,48.58,48.88,48.4,48.66,38937336,0.082191781
2015-05-04,48.37,48.87,48.18,48.24,34039485,0.090410959
2015-05-05,47.82,48.16,47.31,47.6,50369191,0.093150685
2015-05-06,47.57,47.77,46.02,46.28,52433020,0.095890411
2015-05-07,46.27,47.09,46.16,46.7,32971654,0.098630137
2015-05-08,47.55,47.98,47.52,47.75,35364911,0.101369863
2015-05-11,47.55,47.91,47.37,47.37,24609416,0.109589041
2015-05-12,46.85,47.68,46.42,47.35,29928264,0.112328767
2015-05-13,48.19,48.32,47.57,47.63,34184613,0.115068493
2015-05-14,48.03,48.82,48.03,48.72,32980892,0.117808219
2015-05-15,48.87,48.91,48.05,48.3,28642694,0.120547945
2015-05-18,47.98,48.22,47.61,48.01,24136502,0.128767123
2015-05-19,47.62,47.81,47.18,47.58,28574813,0.131506849
2015-05-20,47.39,47.93,47.27,47.58,25047919,0.134246575
2015-05-21,47.28,47.6,47.01,47.42,22410698,0.136986301
2015-05-22,47.3,47.35,46.82,46.9,25720583,0.139726027
2015-05-26,46.83,46.88,46.19,46.59,29581860,0.150684932
2015-05-27,46.82,47.77,46.62,47.61,27335639,0.153424658
2015-05-28,47.5,48.02,47.39,47.45,19283666,0.156164384
2015-05-29,47.43,47.57,46.59,46.86,36519594,0.15890411
2015-06-01,47.06,47.77,46.62,47.23,28837332,0.167123288
2015-06-02,46.95,47.35,46.62,46.92,21498326,0.169863014
2015-06-03,47.37,47.74,46.82,46.85,28002154,0.17260274
2015-06-04,46.79,47.16,46.2,46.36,27745512,0.175342466
2015-06-05,46.31,46.52,45.84,46.14,25438086,0.178082192
2015-06-08,46.3,46.43,45.67,45.73,22121634,0.18630137
2015-06-09,45.76,45.94,45.46,45.65,24406057,0.189041096
2015-06-10,45.79,46.83,45.69,46.61,28417405,0.191780822
2015-06-11,46.66,46.92,46.13,46.44,27347758,0.194520548
2015-06-12,46.2,46.47,45.9,45.97,23930972,0.197260274
2015-06-15,45.45,45.65,45.02,45.48,33254517,0.205479452
2015-06-16,45.35,46.24,45.3,45.83,27070306,0.208219178
2015-06-17,45.73,46.07,45.36,45.97,28704061,0.210958904
2015-06-18,46.22,46.8,46.17,46.72,32658343,0.21369863
2015-06-19,46.79,46.83,45.99,46.1,63837036,0.216438356
2015-06-22,46.33,46.72,46.16,46.23,20318055,0.224657534
2015-06-23,46.13,46.28,45.62,45.91,25896473,0.22739726
2015-06-24,45.68,46.25,45.55,45.64,34890901,0.230136986
2015-06-25,46.03,46.06,45.5,45.65,20615995,0.232876712
2015-06-26,45.65,46.28,45.03,45.26,49835287,0.235616438
2015-06-29,45.04,45.23,44.36,44.37,34081746,0.243835616
2015-06-30,44.71,44.72,43.94,44.15,35945384,0.246575342
2015-07-01,44.49,45.23,44.1,44.45,28343907,0.249315068
2015-07-02,44.48,44.75,44.06,44.4,21752013,0.252054795
2015-07-06,43.96,44.48,43.95,44.39,23033961,0.263013699
2015-07-07,44.34,44.49,43.32,44.3,36435827,0.265753425
2015-07-08,44.44,44.9,44.03,44.24,39785901,0.268493151
2015-07-09,44.75,45.22,44.5,44.52,32424672,0.271232877
2015-07-10,45.01,45.14,44.57,44.61,25465757,0.273972603
2015-07-13,44.98,45.62,44.95,45.54,28178329,0.282191781
2015-07-14,45.45,45.96,45.31,45.62,22880260,0.284931507
2015-07-15,45.68,45.89,45.43,45.76,26629615,0.287671233
2015-07-16,46.01,46.69,45.97,46.66,26271673,0.290410959
2015-07-17,46.55,46.78,46.26,46.62,29467107,0.293150685
2015-07-20,46.65,47.13,46.44,46.92,30631905,0.301369863
2015-07-21,46.78,47.33,46.48,47.28,42781899,0.304109589
2015-07-22,45.44,46.93,45.2,45.54,59152427,0.306849315
2015-07-23,45.27,46.23,45.1,46.11,33934010,0.309589041
2015-07-24,45.91,46.32,45.8,45.94,32333244,0.312328767
2015-07-27,45.94,46.01,45.25,45.35,39701420,0.320547945
2015-07-28,45.58,45.64,44.79,45.34,34328948,0.323287671
2015-07-29,45.4,46.78,45.26,46.29,40945864,0.326027397
2015-07-30,46.26,47.4,45.93,46.88,39777883,0.328767123
2015-07-31,47.29,47.37,46.5,46.7,31201480,0.331506849
2015-08-03,46.98,47,46.45,46.81,24125886,0.339726027
2015-08-04,46.75,47.71,46.68,47.54,33403916,0.342465753
2015-08-05,47.98,48.41,47.54,47.58,26959655,0.345205479
2015-08-06,47.71,47.77,46.33,46.62,27368000,0.347945205
2015-08-07,46.39,46.78,46.26,46.74,19163038,0.350684932
2015-08-10,46.95,47.49,46.84,47.33,23079870,0.35890411
2015-08-11,46.82,46.94,45.9,46.41,29237402,0.361643836
2015-08-12,46.19,46.9,45.71,46.74,30198532,0.364383562
2015-08-13,47.06,47.1,46.49,46.73,22627241,0.367123288
2015-08-14,46.53,47.1,46.52,47,21473402,0.369863014
2015-08-17,46.81,47.45,46.57,47.32,21099746,0.378082192
2015-08-18,46.84,47.43,46.7,47.27,23574104,0.380821918
2015-08-19,46.78,47.08,46.3,46.61,31485511,0.383561644
2015-08-20,46.07,46.47,45.66,45.66,36238227,0.38630137
2015-08-21,45.3,45.48,43.07,43.07,70053084,0.389041096
2015-08-24,40.45,43.31,39.72,41.68,88753660,0.397260274
2015-08-25,42.57,43.24,40.39,40.47,70616597,0.4
2015-08-26,42.01,42.84,41.06,42.71,63407996,0.402739726
2015-08-27,43.23,43.95,42.93,43.9,50943211,0.405479452
2015-08-28,43.4,44.15,43.39,43.93,28246725,0.408219178
2015-08-31,43.56,43.93,43.1,43.52,34441662,0.416438356
2015-09-01,42.17,42.59,41.66,41.82,49688896,0.419178082
2015-09-02,42.36,43.38,41.88,43.36,37671518,0.421917808
2015-09-03,43.41,43.98,43.28,43.5,28285205,0.424657534
2015-09-04,42.81,43.04,42.2,42.61,37138775,0.42739726
2015-09-08,43.3,44,43.2,43.89,32469766,0.438356164
2015-09-09,44.21,44.4,42.91,43.07,33469485,0.44109589
2015-09-10,43.12,43.79,42.75,43.29,31366630,0.443835616
2015-09-11,43.14,43.59,42.94,43.48,27132527,0.446575342
2015-09-14,43.43,43.44,42.86,43.04,23656048,0.454794521
2015-09-15,43.19,44.29,43.08,43.98,28882206,0.457534247
2015-09-16,43.97,44.38,43.84,44.3,23372162,0.460273973
2015-09-17,44.29,45,44.08,44.25,32768161,0.463013699
2015-09-18,43.5,43.99,43.33,43.48,63143684,0.465753425
2015-09-21,43.62,44.47,43.6,44.11,26177224,0.473972603
2015-09-22,43.38,44.05,43.31,43.9,28085903,0.476712329
2015-09-23,43.93,44.17,43.51,43.87,17145238,0.479452055
2015-09-24,43.45,44.13,43.27,43.91,27905607,0.482191781
2015-09-25,44.48,44.73,43.76,43.94,29384601,0.484931507
2015-09-28,43.83,44.09,43.21,43.29,27613785,0.493150685
2015-09-29,43.37,43.57,43.05,43.44,32763557,0.495890411
2015-09-30,43.88,44.3,43.66,44.26,34958880,0.498630137
2015-10-01,44.75,44.75,43.75,44.61,28657859,0.501369863
2015-10-02,44.27,45.57,43.92,45.57,41839035,0.504109589
2015-10-05,45.75,46.89,45.7,46.63,34369286,0.512328767
2015-10-06,46.33,47.18,46.22,46.75,27510808,0.515068493
2015-10-07,47.1,47.35,45.95,46.8,27711492,0.517808219
2015-10-08,46.56,47.52,46.5,47.45,33772709,0.520547945
2015-10-09,47.45,47.54,46.92,47.11,28600632,0.523287671
2015-10-12,46.98,47.07,46.5,47,19769066,0.531506849
2015-10-13,46.56,47.13,46.56,46.89,19987816,0.534246575
2015-10-14,46.65,47.1,46.53,46.68,24697766,0.536986301
2015-10-15,47.01,47.03,46.53,47.01,27189370,0.539726027
2015-10-16,47.02,47.54,46.9,47.51,26450334,0.542465753
2015-10-19,47.42,47.88,47.02,47.62,29387581,0.550684932
2015-10-20,47.44,47.81,47.02,47.77,30802235,0.553424658
2015-10-21,47.92,47.99,47.11,47.2,25264710,0.556164384
2015-10-22,47.53,48.95,47.09,48.03,56637074,0.55890411
2015-10-23,52.3,54.07,52.25,52.87,135227059,0.561643836
2015-10-26,52.53,54.32,52.5,54.25,64633324,0.569863014
2015-10-27,53.99,54.37,53.58,53.69,50999907,0.57260274
2015-10-28,53.54,53.98,52.86,53.98,47000753,0.575342466
2015-10-29,53.54,53.83,53.22,53.36,30202078,0.578082192
2015-10-30,53.32,53.99,52.62,52.64,46619761,0.580821918
2015-11-02,52.85,53.36,52.62,53.24,30284982,0.589041096
2015-11-03,52.93,54.39,52.9,54.15,36596931,0.591780822
2015-11-04,54.18,54.88,54.06,54.4,37087849,0.594520548
2015-11-05,54.49,54.7,54,54.38,31468485,0.597260274
2015-11-06,54.09,54.98,53.96,54.92,32851204,0.6
2015-11-09,54.55,54.87,53.56,54.16,32513067,0.608219178
2015-11-10,54.01,54.13,53.27,53.51,55283697,0.610958904
2015-11-11,53.7,54.2,53.46,53.65,36516260,0.61369863
2015-11-12,53.48,53.98,53.19,53.32,35361095,0.616438356
2015-11-13,53.07,53.29,52.53,52.84,36848175,0.619178082
2015-11-16,53.08,53.89,52.85,53.77,32165198,0.62739726
2015-11-17,53.17,53.53,52.85,52.97,31551255,0.630136986
2015-11-18,53,53.98,52.98,53.85,29710030,0.632876712
2015-11-19,53.99,54.66,53.78,53.94,28149228,0.635616438
2015-11-20,54.25,54.3,53.27,54.19,37147608,0.638356164
2015-11-23,54.25,54.46,53.75,54.19,28235918,0.646575342
2015-11-24,53.92,54.44,53.58,54.25,24600043,0.649315068
2015-11-25,54.09,54.23,53.69,53.69,21005147,0.652054795
2015-11-27,53.8,54.08,53.79,53.93,9009132,0.657534247
2015-11-30,54.54,54.96,54,54.35,56241417,0.665753425
2015-12-01,54.41,55.23,54.3,55.22,39952779,0.668493151
2015-12-02,55.32,55.96,55.06,55.21,47274879,0.671232877
2015-12-03,55.49,55.77,53.93,54.2,38627835,0.673972603
2015-12-04,54.12,56.23,54.1,55.91,43963662,0.676712329
2015-12-07,55.79,55.97,55.29,55.81,30709765,0.684931507
2015-12-08,55.47,56.1,54.99,55.79,32878026,0.687671233
2015-12-09,55.37,55.87,54.51,54.98,36373209,0.690410959
2015-12-10,55.39,55.66,55.01,55.27,31775826,0.693150685
2015-12-11,54.71,55.1,54.01,54.06,39549497,0.695890411
2015-12-14,54.33,55.21,53.68,55.14,47006491,0.704109589
2015-12-15,55.66,55.9,55.09,55.2,39842998,0.706849315
2015-12-16,55.54,56.25,54.76,56.13,37503300,0.709589041
2015-12-17,56.36,56.79,55.53,55.7,41280907,0.712328767
2015-12-18,55.77,56,54.03,54.13,84684164,0.715068493
2015-12-21,54.88,55.35,54.23,54.83,37246325,0.723287671
2015-12-22,54.99,55.48,54.5,55.35,28322241,0.726027397
2015-12-23,55.7,55.88,55.44,55.82,27279832,0.728767123
2015-12-24,55.86,55.96,55.43,55.67,9570002,0.731506849
2015-12-28,55.35,55.95,54.98,55.95,22458293,0.742465753
2015-12-29,56.29,56.85,56.06,56.55,27731403,0.745205479
2015-12-30,56.47,56.78,56.29,56.31,21704505,0.747945205
2015-12-31,56.04,56.19,55.42,55.48,27334061,0.750684932
2016-01-04,54.32,54.8,53.39,54.8,53777963,0.761643836
2016-01-05,54.93,55.39,54.54,55.05,34079674,0.764383562
2016-01-06,54.32,54.4,53.64,54.05,39518863,0.767123288
2016-01-07,52.7,53.49,52.07,52.17,56564852,0.769863014
2016-01-08,52.37,53.28,52.15,52.33,48753969,0.77260274
2016-01-11,52.51,52.85,51.46,52.3,36943756,0.780821918
2016-01-12,52.76,53.1,52.06,52.78,36095539,0.783561644
2016-01-13,53.8,54.07,51.3,51.64,66883571,0.78630137
2016-01-14,52,53.42,51.57,53.11,52381918,0.789041096
2016-01-15,51.31,51.97,50.34,50.99,71820697,0.791780822
2016-01-19,51.48,51.68,50.06,50.56,43564538,0.802739726
2016-01-20,49.98,51.38,49.1,50.79,63272993,0.805479452
2016-01-21,51,51.58,50.3,50.48,40191157,0.808219178
2016-01-22,51.41,52.33,51.26,52.29,37555789,0.810958904
2016-01-25,51.94,52.65,51.65,51.79,34707717,0.819178082
2016-01-26,51.79,52.44,51.55,52.17,28900820,0.821917808
2016-01-27,52.01,52.2,51.02,51.22,36775194,0.824657534
2016-01-28,51.86,52.21,51.25,52.06,62513789,0.82739726
2016-01-29,54.73,55.09,54,55.09,83611686,0.830136986
2016-02-01,54.88,55.09,54.5,54.71,44208542,0.838356164
2016-02-02,54.17,54.26,52.65,53,56313753,0.84109589
2016-02-03,53.25,53.39,51.26,52.16,57559814,0.843835616
2016-02-04,52.1,52.81,51.37,52,46987123,0.846575342
2016-02-05,51.94,52,49.56,50.16,62008994,0.849315068
2016-02-08,49.55,49.57,48.19,49.41,59290497,0.857534247
2016-02-09,49.02,50.24,48.67,49.28,46740474,0.860273973
2016-02-10,49.89,50.39,49.52,49.71,38236954,0.863013699
2016-02-11,48.68,50.11,48.51,49.69,48878571,0.865753425
2016-02-12,50.25,50.68,49.75,50.5,34243324,0.868493151
2016-02-16,50.9,51.09,50.13,51.09,37291208,0.879452055
2016-02-17,51.49,52.77,51.45,52.42,40788968,0.882191781
2016-02-18,52.33,52.95,52.1,52.19,27176035,0.884931507
2016-02-19,51.97,52.28,51.53,51.82,33559073,0.887671233
2016-02-22,52.28,53,52.28,52.65,25008291,0.895890411
2016-02-23,52.34,52.37,50.98,51.18,28895274,0.898630137
2016-02-24,50.69,51.5,50.2,51.36,33014457,0.901369863
2016-02-25,51.73,52.1,50.61,52.1,26939467,0.904109589
2016-02-26,52.6,52.68,51.1,51.3,35975925,0.906849315
2016-02-29,51.35,51.65,50.66,50.88,31654036,0.915068493
2016-03-01,50.97,52.59,50.92,52.58,33024535,0.917808219
2016-03-02,52.41,52.96,52.16,52.95,29289884,0.920547945
2016-03-03,52.97,52.97,51.78,52.35,24427813,0.923287671
2016-03-04,52.4,52.45,51.71,52.03,33034150,0.926027397
2016-03-07,51.56,51.8,50.58,51.03,38428816,0.934246575
2016-03-08,50.8,52.13,50.6,51.65,33835119,0.936986301
2016-03-09,51.89,52.85,51.86,52.84,28251588,0.939726027
2016-03-10,52.93,52.94,51.16,52.05,38387804,0.942465753
2016-03-11,53,53.07,52.38,53.07,32275677,0.945205479
2016-03-14,52.71,53.59,52.63,53.17,24083616,0.953424658
2016-03-15,52.75,53.59,52.74,53.59,21104763,0.956164384
2016-03-16,53.45,54.6,53.4,54.35,31691742,0.95890411
2016-03-17,54.21,55,54,54.66,20539771,0.961643836
2016-03-18,54.92,54.97,53.45,53.49,67625518,0.964383562
2016-03-21,53.25,53.93,52.93,53.86,23925716,0.97260274
2016-03-22,53.61,54.25,53.46,54.07,23124143,0.975342466
2016-03-23,54.11,54.24,53.74,53.97,20129015,0.978082192
2016-03-24,53.84,54.33,53.73,54.21,19949972,0.980821918
2016-03-28,54.21,54.29,53.33,53.54,17025050,0.991780822
2016-03-29,53.66,54.86,53.45,54.71,23924329,0.994520548
2016-03-30,54.93,55.64,54.9,55.05,23008260,0.997260274
2016-03-31,54.95,55.59,54.86,55.23,26360495,1
